Name,Age,Height_in_cms,Weight_in_kg,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,CF,RW,CAM,CM,RM,CDM,RWB,CB,RB,OVA
A. Pasche,26,175.26,72.45,CM,258,286,346,306,290,148,48,58,62,61,63,63,63,59,59,54,58,64
Alan Carvalho,30,182.88,71.55,ST,365,375,404,372,313,77,55,77,77,77,76,68,76,53,57,48,53,77
S. Giovinco,33,162.56,60.300000000000004,CAM,336,424,424,308,332,80,21,73,79,80,80,74,79,56,59,41,53,80
J. Evans,22,177.8,68.4,CDM,242,259,282,277,257,168,42,50,51,51,53,56,53,58,56,58,57,59
Y. Demoncy,23,180.34,67.5,CDM,249,280,324,280,294,185,52,56,59,59,61,63,62,64,64,61,63,65
Yu Hanchao,33,177.8,69.3,LM,328,333,358,321,300,103,65,67,69,70,70,66,70,55,58,49,55,71
M. Darmian,30,182.88,69.3,RB,325,316,361,329,318,235,39,66,67,68,68,70,69,74,74,74,74,76
N. Mosti,22,177.8,72.45,LM,262,273,323,240,245,129,51,55,58,59,60,59,61,52,52,46,50,60
M. Čovilo,34,193.04,86.4,CB,277,281,200,343,294,192,49,57,56,54,56,61,55,64,59,68,60,65
L. Grimi,35,182.88,73.35000000000001,CB,306,270,299,346,329,205,54,62,62,63,63,64,62,66,65,68,65,67
A. Alcáraz,37,187.96,77.4,CB,269,214,257,314,292,217,56,57,56,54,55,57,54,64,64,72,65,72
A. Trezza,21,165.1,58.5,RM,256,264,385,285,222,77,53,59,62,64,62,54,63,42,48,37,45,64
M. Polster,27,182.88,76.5,CDM,271,302,280,324,302,197,60,57,60,60,62,66,63,69,67,68,66,68
A. Mozo,23,175.26,70.65,RB,272,280,371,320,285,209,47,58,60,63,61,62,66,69,71,69,71,73
H. Gambor,17,180.34,74.25,CB,219,190,299,221,198,166,37,43,42,43,42,43,44,49,51,54,54,54
V. Dávila,22,172.72,69.3,CAM,297,346,359,303,248,93,69,67,70,69,71,65,68,51,52,42,49,67
K. Müller,28,190.5,89.10000000000001,GK,101,86,246,200,103,48,307,28,27,26,26,25,28,25,27,26,27,63
M. Oddo B,35,182.88,75.60000000000001,CM,342,397,312,328,348,220,52,66,69,72,71,72,72,71,72,70,70,71
B. Edomwonyi,25,185.42,77.4,ST,293,255,366,358,251,76,57,66,65,65,63,56,64,45,50,43,48,66
Luis Felipe,24,185.42,79.2,CDM,236,241,295,297,273,184,55,53,54,54,56,59,56,63,60,62,60,64
Ander Iru,21,187.96,73.35000000000001,GK,56,79,171,166,75,31,309,20,20,19,20,21,20,20,18,18,18,62
S. Rossbach,24,187.96,79.2,GK,90,95,246,248,129,51,341,29,31,28,32,32,30,29,28,27,27,69
G. Verón,18,182.88,81.45,ST,269,233,290,296,218,82,40,58,56,55,54,49,54,41,43,40,42,59
M. Ignatov,20,187.96,78.3,CAM,279,316,303,271,250,147,57,58,62,63,64,63,64,56,56,51,55,64
T. Hopper,26,185.42,75.60000000000001,ST,290,251,322,346,264,110,43,63,61,60,59,55,59,48,49,47,48,63
R. O'Farrell,18,185.42,77.4,CAM,238,242,281,296,238,145,51,53,53,53,54,53,53,51,51,51,51,55
D. Potts,26,172.72,69.3,CB,266,246,333,280,258,195,49,55,57,59,58,59,61,63,64,65,64,66
Jovane Cabral,22,175.26,71.55,CAM,346,377,413,361,295,100,50,74,76,77,76,69,76,54,58,48,55,77
Zé Luís,29,182.88,79.2,ST,345,318,363,394,331,79,59,77,76,72,73,64,71,52,53,51,51,77
M. Aleksandrov,28,180.34,73.35000000000001,LM,293,322,364,313,229,175,53,63,65,67,65,63,67,59,63,54,61,68
F. Mwepu,20,180.34,69.3,ST,242,211,342,298,214,52,54,59,57,56,55,47,55,37,41,34,40,59
B. Garnica,24,167.64000000000001,55.35,RM,297,290,373,294,278,94,54,63,66,68,66,61,67,52,54,44,50,68
L. Muñoz,25,182.88,75.60000000000001,CB,151,154,188,151,190,125,68,36,36,43,44,48,43,52,54,57,55,60
D. Maldonado,21,182.88,80.55,CB,210,174,288,266,218,188,57,45,43,42,42,46,44,57,57,63,59,64
V. Rama,32,182.88,77.4,LM,264,314,360,325,231,61,47,59,62,64,63,56,64,43,47,36,43,65
T. Väyrynen,27,190.5,88.2,ST,273,241,267,318,236,88,64,61,57,53,54,50,51,44,41,44,41,61
I. Cissé,19,195.57999999999998,85.5,CB,214,190,264,249,197,177,58,41,39,40,41,45,43,54,54,60,56,60
L. Ihorst,20,187.96,79.2,ST,267,220,246,312,259,70,57,61,58,54,55,51,53,43,41,42,40,61
I. Sackey,26,190.5,87.3,CB,267,272,240,393,290,212,51,59,56,55,57,61,55,68,63,72,64,69
T. Nakazato,30,175.26,70.65,LB,226,246,300,249,251,152,54,46,49,51,51,53,53,54,54,51,53,55
N. Bustos,21,175.26,63.45,ST,337,347,396,359,292,93,61,74,74,74,73,66,73,53,56,47,53,74
G. Mandjeck,31,185.42,76.5,CDM,280,301,351,329,309,206,59,62,63,63,65,67,64,70,67,71,68,71
C. Neyra,25,170.18,60.300000000000004,LB,255,267,331,348,252,187,59,57,57,58,57,58,60,62,64,64,64,66
M. Suttner,33,177.8,72.45,LB,324,362,347,344,294,215,60,63,65,67,67,68,68,70,71,69,71,73
C. Reyna,33,177.8,70.65,CM,271,293,189,294,298,139,71,71,71,72,74,77,72,75,73,72,74,76
I. Botella,20,180.34,71.55,ST,275,228,309,314,251,44,48,63,59,57,56,49,55,38,38,37,37,64
A. Walongwa,25,182.88,80.55,CB,191,213,261,258,249,185,67,44,42,40,42,47,42,58,53,63,55,64
Rubén Díez,26,165.1,61.65,RM,287,333,370,285,296,63,53,60,64,66,64,59,65,46,50,37,46,66
O. Estupiñán,23,182.88,73.35000000000001,ST,303,303,338,358,231,64,51,69,66,63,62,54,60,42,43,42,42,69
I. Ouattara,19,182.88,73.35000000000001,ST,267,231,322,284,218,54,60,59,57,57,55,48,55,36,40,33,38,59
F. Acerbi,32,193.04,87.3,CB,258,334,277,371,320,259,53,60,60,56,62,71,60,81,73,83,75,83
S. Limbombe,29,167.64000000000001,70.65,RM,291,330,405,336,254,94,53,64,66,67,66,59,66,47,51,42,48,67
K. Thomas,23,177.8,75.60000000000001,ST,262,225,316,318,243,77,52,60,56,55,54,48,53,43,43,45,43,61
H. Villalba,25,172.72,74.25,LM,321,339,439,340,310,126,51,73,75,75,73,68,73,58,60,53,58,74
E. Hagen,20,187.96,69.3,CAM,236,268,301,263,240,142,45,53,56,56,57,57,57,53,53,48,52,57
Eric Botteghin,32,193.04,88.2,CB,213,215,197,337,243,223,69,47,44,42,45,53,45,67,58,73,61,73
